mz,Intensity,Annotation
940.16846,3767.52,Unknown
941.47766,3015.72,Unknown
945.09784,1817.21,Unknown
948.42035,1691.88,Unknown
950.77991,1711.06,Unknown
951.11292,3598.94,Unknown
951.43286,1553.19,Unknown
953.40399,3441.32,Unknown
957.64551,2058.87,Unknown
958.646,41846.8,Identified
959.64984,18635.3,Unknown
960.65234,5323.03,Unknown
969.46429,14722.1,Unknown
973.4574,2598.6,Unknown
978.06842,1668.33,Unknown
983.45032,4546.35,Unknown
983.78137,1877.02,Unknown
986.79797,1920.16,Unknown
989.12268,5155.87,Unknown
989.45288,10536.8,Unknown
1001.46808,2595.91,Unknown
1005.44806,4289.34,Unknown
1006.44269,3184.11,Unknown
1012.67126,1864.13,Unknown
1013.67188,2857.33,Unknown
1014.67383,3371.62,Unknown
1015.67816,1934.2,Unknown
1016.67664,2206.32,Unknown
1029.46143,5340.9,Unknown
1030.46204,3524.53,Unknown
1031.46362,1662.85,Unknown
1068.50806,15246.7,Identified
1069.0105,11575.7,Unknown
1071.72937,3608.82,Unknown
1086.4519,3849.52,Unknown
1088.53247,1625.27,Unknown
1102.49512,6286.93,Unknown
1103.49683,8613.73,Unknown
1104.5304,4589.99,Unknown
1113.50049,3686.97,Unknown
1114,4046.53,Unknown
1120.49939,1817.82,Unknown
1121.5061,4030.02,Unknown
1129.27795,1591.83,Unknown
1132.52075,3414.78,Unknown
1142.47412,2053.41,Unknown
1144.48657,9500.54,Unknown
1145.48804,3075.83,Unknown
1161.51257,1723.86,Unknown
1162.18896,4630.11,Unknown
1162.52197,6195.16,Unknown
1163.49609,1915.77,Unknown
1164.59973,2517.19,Unknown
1167.84875,3303.84,Unknown
1168.19031,3202.47,Unknown
1168.52148,4884.73,Unknown
1170.51453,2247.78,Unknown
1247.5481,5577.54,Unknown
1259.53992,1747.07,Unknown
1260.54663,3480.14,Unknown
1273.53052,2461.59,Unknown
1278.5636,2151.54,Unknown
1290.59631,2181.03,Unknown
1344.56946,2348.84,Unknown
1349.55334,2025.03,Unknown
1361.58228,2278.07,Unknown
1362.58215,23798.6,Identified
1363.5885,4154.11,Unknown
1433.68127,2445.85,Unknown
1525.64587,2369.3,Unknown
1791.82239,1472.39,Unknown
